hcc,is_chronic,model_version,model_domain
HCC342,,V28,CMS-HCC
HCC380,Y,V28,CMS-HCC
HCC37,,V24,CMS-HCC
HCC176,,V24,CMS-HCC
HCC20,Y,V24,CMS-HCC
HCC125,Y,V28,CMS-HCC
HCC281,Y,V28,CMS-HCC
HCC354,Y,V28,CMS-HCC
HCC48,Y,V24,CMS-HCC
HCC84,,V24,CMS-HCC
HCC129,,V24,CMS-HCC
HCC29,Y,V24,CMS-HCC
HCC27,,V28,CMS-HCC
HCC65,Y,V28,CMS-HCC
HCC212,,V28,CMS-HCC
HCC280,Y,V28,CMS-HCC
HCC473,,V28,CMS-HCC
HCC66,Y,V24,CMS-HCC
HCC135,Y,V28,CMS-HCC
HCC136,Y,V28,CMS-HCC
HCC295,Y,V28,CMS-HCC
HCC363,,V28,CMS-HCC
HCC383,Y,V28,CMS-HCC
HCC397,,V28,CMS-HCC
HCC234,Y,V28,CMS-HCC
HCC78,Y,V24,CMS-HCC
HCC21,Y,V28,CMS-HCC
HCC323,Y,V28,CMS-HCC
HCC324,,V28,CMS-HCC
HCC94,Y,V24,CMS-HCC
HCC101,Y,V24,CMS-HCC
HCC127,Y,V24,CMS-HCC
HCC141,Y,V24,CMS-HCC
HCC167,,V24,CMS-HCC
HCC2,,V28,CMS-HCC
HCC112,Y,V28,CMS-HCC
HCC236,Y,V28,CMS-HCC
HCC240,Y,V28,CMS-HCC
HCC128,,V24,CMS-HCC
HCC36,Y,V28,CMS-HCC
HCC93,Y,V28,CMS-HCC
HCC362,,V28,CMS-HCC
HCC196,,V24,CMS-HCC
HCC2,,V24,CMS-HCC
HCC89,Y,V24,CMS-HCC
HCC90,,V24,CMS-HCC
HCC111,Y,V28,CMS-HCC
HCC115,Y,V28,CMS-HCC
HCC233,Y,V28,CMS-HCC
HCC286,,V28,CMS-HCC
HCC381,Y,V28,CMS-HCC
HCC17,Y,V28,CMS-HCC
HCC222,Y,V28,CMS-HCC
HCC386,,V28,CMS-HCC
HCC88,Y,V24,CMS-HCC
HCC180,Y,V24,CMS-HCC
HCC14,,V24,CMS-HCC
HCC92,,V28,CMS-HCC
HCC151,Y,V28,CMS-HCC
HCC268,,V28,CMS-HCC
HCC330,Y,V28,CMS-HCC
HCC83,,V24,CMS-HCC
HCC111,Y,V24,CMS-HCC
HCC156,,V24,CMS-HCC
HCC487,,V28,CMS-HCC
HCC74,Y,V24,CMS-HCC
HCC201,,V24,CMS-HCC
HCC340,,V28,CMS-HCC
HCC388,,V28,CMS-HCC
HCC400,,V28,CMS-HCC
HCC69,Y,V24,CMS-HCC
HCC181,Y,V24,CMS-HCC
HCC202,,V24,CMS-HCC
HCC96,Y,V28,CMS-HCC
HCC387,Y,V28,CMS-HCC
HCC409,Y,V28,CMS-HCC
HCC56,Y,V24,CMS-HCC
HCC77,Y,V24,CMS-HCC
HCC156,Y,V28,CMS-HCC
HCC300,Y,V28,CMS-HCC
HCC453,,V28,CMS-HCC
HCC468,,V28,CMS-HCC
HCC188,Y,V24,CMS-HCC
HCC189,Y,V24,CMS-HCC
HCC23,Y,V24,CMS-HCC
HCC67,Y,V28,CMS-HCC
HCC299,Y,V28,CMS-HCC
HCC343,,V28,CMS-HCC
HCC472,,V28,CMS-HCC
HCC173,,V24,CMS-HCC
HCC33,,V24,CMS-HCC
HCC62,Y,V28,CMS-HCC
HCC77,Y,V28,CMS-HCC
HCC141,Y,V28,CMS-HCC
HCC322,Y,V28,CMS-HCC
HCC139,Y,V24,CMS-HCC
HCC153,,V24,CMS-HCC
HCC155,,V24,CMS-HCC
HCC5,,V28,CMS-HCC
HCC37,Y,V28,CMS-HCC
HCC91,Y,V24,CMS-HCC
HCC114,Y,V28,CMS-HCC
HCC202,Y,V28,CMS-HCC
HCC248,Y,V28,CMS-HCC
HCC403,,V28,CMS-HCC
HCC34,Y,V24,CMS-HCC
HCC58,,V24,CMS-HCC
HCC71,Y,V24,CMS-HCC
HCC186,Y,V24,CMS-HCC
HCC51,Y,V28,CMS-HCC
HCC79,Y,V28,CMS-HCC
HCC126,Y,V28,CMS-HCC
HCC329,Y,V28,CMS-HCC
HCC370,,V28,CMS-HCC
HCC152,,V24,CMS-HCC
HCC15,,V24,CMS-HCC
HCC6,,V28,CMS-HCC
HCC304,,V28,CMS-HCC
HCC469,,V28,CMS-HCC
HCC139,Y,V28,CMS-HCC
HCC327,Y,V28,CMS-HCC
HCC389,,V28,CMS-HCC
HCC35,Y,V24,CMS-HCC
HCC59,Y,V24,CMS-HCC
HCC249,Y,V28,CMS-HCC
HCC51,Y,V24,CMS-HCC
HCC68,,V28,CMS-HCC
HCC191,Y,V28,CMS-HCC
HCC221,Y,V28,CMS-HCC
HCC228,Y,V28,CMS-HCC
HCC399,,V28,CMS-HCC
HCC81,Y,V24,CMS-HCC
HCC116,,V24,CMS-HCC
HCC484,,V28,CMS-HCC
HCC124,Y,V24,CMS-HCC
