diagnosis_code,cc,model_name
C23,9,CMS-HCC ESRD Model V21
C240,9,CMS-HCC ESRD Model V21
C241,9,CMS-HCC ESRD Model V21
C248,9,CMS-HCC ESRD Model V21
C249,9,CMS-HCC ESRD Model V21
C250,9,CMS-HCC ESRD Model V21
C251,9,CMS-HCC ESRD Model V21
C252,9,CMS-HCC ESRD Model V21
C253,9,CMS-HCC ESRD Model V21
C254,9,CMS-HCC ESRD Model V21
C257,9,CMS-HCC ESRD Model V21
C258,9,CMS-HCC ESRD Model V21
C259,9,CMS-HCC ESRD Model V21
C260,11,CMS-HCC ESRD Model V21
C261,11,CMS-HCC ESRD Model V21
C269,11,CMS-HCC ESRD Model V21
C300,11,CMS-HCC ESRD Model V21
C301,11,CMS-HCC ESRD Model V21
C310,11,CMS-HCC ESRD Model V21
C311,11,CMS-HCC ESRD Model V21
C312,11,CMS-HCC ESRD Model V21
C313,11,CMS-HCC ESRD Model V21
C318,11,CMS-HCC ESRD Model V21
C319,11,CMS-HCC ESRD Model V21
C320,11,CMS-HCC ESRD Model V21
C321,11,CMS-HCC ESRD Model V21
C322,11,CMS-HCC ESRD Model V21
C323,11,CMS-HCC ESRD Model V21
C328,11,CMS-HCC ESRD Model V21
C329,11,CMS-HCC ESRD Model V21
C33,9,CMS-HCC ESRD Model V21
C3400,9,CMS-HCC ESRD Model V21
C3401,9,CMS-HCC ESRD Model V21
C3402,9,CMS-HCC ESRD Model V21
C3410,9,CMS-HCC ESRD Model V21
C3411,9,CMS-HCC ESRD Model V21
C3412,9,CMS-HCC ESRD Model V21
C342,9,CMS-HCC ESRD Model V21
C3430,9,CMS-HCC ESRD Model V21
C3431,9,CMS-HCC ESRD Model V21
C3432,9,CMS-HCC ESRD Model V21
C3480,9,CMS-HCC ESRD Model V21
C3481,9,CMS-HCC ESRD Model V21
C3482,9,CMS-HCC ESRD Model V21
C3490,9,CMS-HCC ESRD Model V21
C3491,9,CMS-HCC ESRD Model V21
C3492,9,CMS-HCC ESRD Model V21
C37,11,CMS-HCC ESRD Model V21
C380,11,CMS-HCC ESRD Model V21
C381,11,CMS-HCC ESRD Model V21
C382,11,CMS-HCC ESRD Model V21
